species,fillet,flesh,meat,protein,fat,glycogen,kcalorie,kjoules
"Stolephorus anchovies (4,28)",[51],62,,18.0(20.2),2.8(4.2),,102(124),427(519)
Striped venus (15),,,[18],10.8,1.1,3.9,72,302
Surf clam (15),,,[18],10.8,1.1,3.9,72,302
Threadsail filefish (17),[33],36,,18.8,0.7,,873,62
Tilapias nei,[37],37,,17.6,2.1,,94,394
Toli shad,[50],60,,19.8,[12.6],,[198],[829]
"Triggerfishes, durgons",[33],36,,18.8,0.7,,87,362
Whiting,32,49,,18.2,[0.4],,[81],[340]
Yellowfin sole (3),34,49,,17.6,1.6,,90,375
Yellowfin tuna (1),[30],58,,23.7,4.6,,143,597
