"feed_scen","dev_pattern","rcp","year","eez_code","eez_name","eez_type","ter1_name","ter1_iso","ter1_continent","sov1_name","sov1_iso","sov1_iso3_use","sov1_continent","ncells","area_sqkm","prod_mt","profits_usd"
"Progressive reform","Rational development","RCP 2.6",2051,8427,"Honduran Exclusive Economic Zone","200NM","Honduras","HND","Americas","Honduras","HND","HND","Americas",25,2500,4056005.5534358,23295868332.2367
"Progressive reform","Rational development","RCP 2.6",2051,8471,"Guinea Bissau Exclusive Economic Zone","200NM","Guinea-Bissau","GNB","Africa","Guinea-Bissau","GNB","GNB","Africa",65,6500,10545614.4389331,60646413183.8155
"Progressive reform","Rational development","RCP 2.6",2051,8474,"Nigerian Exclusive Economic Zone","200NM","Nigeria","NGA","Africa","Nigeria","NGA","NGA","Africa",1,100,162240.222137432,932228013.289469
"Progressive reform","Rational development","RCP 2.6",2051,8479,"Tanzanian Exclusive Economic Zone","200NM","Tanzania","TZA","Africa","Tanzania","TZA","TZA","Africa",24,2400,3893765.33129837,22387363902.9473
"Progressive reform","Rational development","RCP 2.6",2051,8480,"Indian Exclusive Economic Zone","200NM","India","IND","Asia","India","IND","IND","Asia",420,42000,68140893.2977214,391510794061.577
"Progressive reform","Rational development","RCP 2.6",2051,8481,"Bangladeshi Exclusive Economic Zone","200NM","Bangladesh","BGD","Asia","Bangladesh","BGD","BGD","Asia",23,2300,3731525.10916094,21443459665.6578
"Progressive reform","Rational development","RCP 2.6",2051,8482,"Myanmar Exclusive Economic Zone","200NM","Myanmar","MMR","Asia","Myanmar","MMR","MMR","Asia",24,2400,3893765.33129837,22382482494.9473
"Progressive reform","Rational development","RCP 2.6",2051,8484,"Vietnamese Exclusive Economic Zone","200NM","Vietnam","VNM","Asia","Vietnam","VNM","VNM","Asia",114,11400,18495385.3236673,106242584234.999
"Progressive reform","Rational development","RCP 2.6",2051,8758,"East Timorian Exclusive Economic Zone","200NM","East Timor","TLS","Asia","East Timor","TLS","TLS","Asia",27,2700,4380485.99771066,25176736582.8157
"Progressive reform","Rational development","RCP 2.6",2051,21791,"Oecussi Ambeno Exclusive Economic Zone","200NM","Oecusse","TLS","Asia","East Timor","TLS","TLS","Asia",2,200,324480.444274864,1864943450.57894
"Progressive reform","Rational development","RCP 2.6",2100,8314,"Solomon Islands Exclusive Economic Zone","200NM","Solomon Islands","SLB","Oceania","Solomon Islands","SLB","SLB","Oceania",223,22300,36179569.5366473,207934444083.552
"Progressive reform","Rational development","RCP 2.6",2100,8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","KHM","Asia",27,2700,4380485.99771066,25179935110.8157
"Progressive reform","Rational development","RCP 2.6",2100,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",55,5500,8923212.21755876,51328603770.9208
"Progressive reform","Rational development","RCP 2.6",2100,8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","MDG","Africa",236,23600,38288692.424434,220232204992.315
"Progressive reform","Rational development","RCP 2.6",2100,8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","YEM","Asia",50,5000,8112011.1068716,46633147864.4735
"Progressive reform","Rational development","RCP 2.6",2100,8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","PAK","Asia",64,6400,10383374.2167956,59669936978.526
"Progressive reform","Rational development","RCP 2.6",2100,8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","MRT","Africa",22,2200,3569284.8870235,20524467684.3683
"Progressive reform","Rational development","RCP 2.6",2100,8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","GMB","Africa",13,1300,2109122.88778662,12130637132.7631
"Progressive reform","Rational development","RCP 2.6",2100,8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","SEN","Africa",49,4900,7949770.88473417,45696618219.184
"Progressive reform","Rational development","RCP 2.6",2100,8391,"Liberian Exclusive Economic Zone","200NM","Liberia","LBR","Africa","Liberia","LBR","LBR","Africa",10,1000,1622402.22137432,9332410692.89469
"Progressive reform","Rational development","RCP 2.6",2100,8392,"Togolese Exclusive Economic Zone","200NM","Togo","TGO","Africa","Togo","TGO","TGO","Africa",3,300,486720.666412296,2799305991.86841
"Progressive reform","Rational development","RCP 2.6",2100,8393,"Beninese Exclusive Economic Zone","200NM","Benin","BEN","Africa","Benin","BEN","BEN","Africa",7,700,1135681.55496202,6530733757.02629
"Progressive reform","Rational development","RCP 2.6",2100,8400,"Ghanaian Exclusive Economic Zone","200NM","Ghana","GHA","Africa","Ghana","GHA","GHA","Africa",29,2900,4704966.44198553,27042264673.3946
"Progressive reform","Rational development","RCP 2.6",2100,8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","HTI","Americas",81,8100,13141457.993132,75567881876.447
"Progressive reform","Rational development","RCP 2.6",2100,8471,"Guinea Bissau Exclusive Economic Zone","200NM","Guinea-Bissau","GNB","Africa","Guinea-Bissau","GNB","GNB","Africa",51,5100,8274251.32900903,47584108805.7629
"Progressive reform","Rational development","RCP 2.6",2100,8479,"Tanzanian Exclusive Economic Zone","200NM","Tanzania","TZA","Africa","Tanzania","TZA","TZA","Africa",24,2400,3893765.33129837,22387363902.9473
"Progressive reform","Rational development","RCP 2.6",2100,8480,"Indian Exclusive Economic Zone","200NM","India","IND","Asia","India","IND","IND","Asia",242,24200,39262133.7572585,225584790864.052
"Progressive reform","Rational development","RCP 2.6",2100,8481,"Bangladeshi Exclusive Economic Zone","200NM","Bangladesh","BGD","Asia","Bangladesh","BGD","BGD","Asia",85,8500,13790418.8816817,79247568329.6049
"Progressive reform","Rational development","RCP 2.6",2100,8482,"Myanmar Exclusive Economic Zone","200NM","Myanmar","MMR","Asia","Myanmar","MMR","MMR","Asia",248,24800,40235575.0900831,231285652447.788
"Progressive reform","Rational development","RCP 2.6",2100,8758,"East Timorian Exclusive Economic Zone","200NM","East Timor","TLS","Asia","East Timor","TLS","TLS","Asia",5,500,811201.11068716,4662358626.44735
"Progressive reform","Rational development","RCP 2.6",2100,21791,"Oecussi Ambeno Exclusive Economic Zone","200NM","Oecusse","TLS","Asia","East Timor","TLS","TLS","Asia",2,200,324480.444274864,1864943450.57894
"Progressive reform","Rational development","RCP 4.5",2021,8324,"Papua New Guinean Exclusive Economic Zone","200NM","Papua New Guinea","PNG","Oceania","Papua New Guinea","PNG","PNG","Oceania",33,3300,5353927.33053526,30757448214.5525
"Progressive reform","Rational development","RCP 4.5",2021,8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","KHM","Asia",27,2700,4380485.99771066,25179935110.8157
"Progressive reform","Rational development","RCP 4.5",2021,8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM","Andaman and Nicobar","IND","Asia","India","IND","IND","Asia",26,2600,4218245.77557323,24236382489.5262
"Progressive reform","Rational development","RCP 4.5",2021,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",55,5500,8923212.21755876,51328607290.9208
"Progressive reform","Rational development","RCP 4.5",2021,8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","MDG","Africa",232,23200,37639731.5358842,216499455755.157
"Progressive reform","Rational development","RCP 4.5",2021,8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","YEM","Asia",50,5000,8112011.1068716,46633147864.4735
"Progressive reform","Rational development","RCP 4.5",2021,8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","PAK","Asia",64,6400,10383374.2167956,59669936978.526
"Progressive reform","Rational development","RCP 4.5",2021,8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","MRT","Africa",22,2200,3569284.8870235,20524467684.3683
"Progressive reform","Rational development","RCP 4.5",2021,8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","GMB","Africa",13,1300,2109122.88778662,12130637132.7631
"Progressive reform","Rational development","RCP 4.5",2021,8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","SEN","Africa",49,4900,7949770.88473417,45696618219.184
"Progressive reform","Rational development","RCP 4.5",2021,8392,"Togolese Exclusive Economic Zone","200NM","Togo","TGO","Africa","Togo","TGO","TGO","Africa",2,200,324480.444274864,1866203994.57894
"Progressive reform","Rational development","RCP 4.5",2021,8393,"Beninese Exclusive Economic Zone","200NM","Benin","BEN","Africa","Benin","BEN","BEN","Africa",7,700,1135681.55496202,6530733757.02629
"Progressive reform","Rational development","RCP 4.5",2021,8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","HTI","Americas",81,8100,13141457.993132,75567881876.447
"Progressive reform","Rational development","RCP 4.5",2021,8425,"Nicaraguan Exclusive Economic Zone","200NM","Nicaragua","NIC","Americas","Nicaragua","NIC","NIC","Americas",51,5100,8274251.32900903,47534319749.7629
"Progressive reform","Rational development","RCP 4.5",2021,8471,"Guinea Bissau Exclusive Economic Zone","200NM","Guinea-Bissau","GNB","Africa","Guinea-Bissau","GNB","GNB","Africa",5,500,811201.11068716,4665108706.44735
"Progressive reform","Rational development","RCP 4.5",2021,8474,"Nigerian Exclusive Economic Zone","200NM","Nigeria","NGA","Africa","Nigeria","NGA","NGA","Africa",2,200,324480.444274864,1864455898.57894
"Progressive reform","Rational development","RCP 4.5",2021,8479,"Tanzanian Exclusive Economic Zone","200NM","Tanzania","TZA","Africa","Tanzania","TZA","TZA","Africa",24,2400,3893765.33129837,22387363902.9473
"Progressive reform","Rational development","RCP 4.5",2021,8480,"Indian Exclusive Economic Zone","200NM","India","IND","Asia","India","IND","IND","Asia",232,23200,37639731.5358842,216263105291.157
"Progressive reform","Rational development","RCP 4.5",2021,8481,"Bangladeshi Exclusive Economic Zone","200NM","Bangladesh","BGD","Asia","Bangladesh","BGD","BGD","Asia",39,3900,6327368.66335985,36360648998.2893
"Progressive reform","Rational development","RCP 4.5",2021,8482,"Myanmar Exclusive Economic Zone","200NM","Myanmar","MMR","Asia","Myanmar","MMR","MMR","Asia",12,1200,1946882.66564918,11191241247.4736
"Progressive reform","Rational development","RCP 4.5",2021,8484,"Vietnamese Exclusive Economic Zone","200NM","Vietnam","VNM","Asia","Vietnam","VNM","VNM","Asia",106,10600,17197463.5465678,98786964288.6837
"Progressive reform","Rational development","RCP 4.5",2021,21791,"Oecussi Ambeno Exclusive Economic Zone","200NM","Oecusse","TLS","Asia","East Timor","TLS","TLS","Asia",2,200,324480.444274864,1864943450.57894
"Progressive reform","Rational development","RCP 4.5",2051,8314,"Solomon Islands Exclusive Economic Zone","200NM","Solomon Islands","SLB","Oceania","Solomon Islands","SLB","SLB","Oceania",2,200,324480.444274864,1864882906.57894
"Progressive reform","Rational development","RCP 4.5",2051,8322,"Philippines Exclusive Economic Zone","200NM","Philippines","PHL","Asia","Philippines","PHL","PHL","Asia",22,2200,3569284.8870235,20479372260.3683
"Progressive reform","Rational development","RCP 4.5",2051,8324,"Papua New Guinean Exclusive Economic Zone","200NM","Papua New Guinea","PNG","Oceania","Papua New Guinea","PNG","PNG","Oceania",26,2600,4218245.77557323,24233141017.5262
"Progressive reform","Rational development","RCP 4.5",2051,8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM","Andaman and Nicobar","IND","Asia","India","IND","IND","Asia",11,1100,1784642.44351175,10253854130.1842
"Progressive reform","Rational development","RCP 4.5",2051,8346,"Sri Lankan Exclusive Economic Zone","200NM","Sri Lanka","LKA","Asia","Sri Lanka","LKA","LKA","Asia",103,10300,16710742.8801555,95850103928.8153
"Progressive reform","Rational development","RCP 4.5",2051,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",134,13400,21740189.7664159,124863418676.789
"Progressive reform","Rational development","RCP 4.5",2051,8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","MDG","Africa",207,20700,33583725.9824484,193169773022.92
"Progressive reform","Rational development","RCP 4.5",2051,8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","YEM","Asia",50,5000,8112011.1068716,46633147864.4735
"Progressive reform","Rational development","RCP 4.5",2051,8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","PAK","Asia",64,6400,10383374.2167956,59669936978.526
"Progressive reform","Rational development","RCP 4.5",2051,8362,"Cape Verdean Exclusive Economic Zone","200NM","Cape Verde","CPV","Africa","Cape Verde","CPV","CPV","Africa",59,5900,9572173.10610849,54962458032.0787
"Progressive reform","Rational development","RCP 4.5",2051,8366,"Tunisian Exclusive Economic Zone","200NM","Tunisia","TUN","Africa","Tunisia","TUN","TUN","Africa",38,3800,6165128.44122242,35393121464.9998
"Progressive reform","Rational development","RCP 4.5",2051,8367,"Moroccan Exclusive Economic Zone","200NM","Morocco","MAR","Africa","Morocco","MAR","MAR","Africa",14,1400,2271363.10992405,13039846138.0526
"Progressive reform","Rational development","RCP 4.5",2051,8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","MRT","Africa",14,1400,2271363.10992405,13061024890.0526
"Progressive reform","Rational development","RCP 4.5",2051,8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","GMB","Africa",13,1300,2109122.88778662,12130637132.7631
"Progressive reform","Rational development","RCP 4.5",2051,8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","SEN","Africa",49,4900,7949770.88473417,45696618219.184
"Progressive reform","Rational development","RCP 4.5",2051,8378,"Algerian Exclusive Economic Zone","200NM","Algeria","DZA","Africa","Algeria","DZA","DZA","Africa",4,400,648960.888549728,3723620789.15788
"Progressive reform","Rational development","RCP 4.5",2051,8393,"Beninese Exclusive Economic Zone","200NM","Benin","BEN","Africa","Benin","BEN","BEN","Africa",6,600,973441.332824592,5597771791.73682
"Progressive reform","Rational development","RCP 4.5",2051,8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","HTI","Americas",81,8100,13141457.993132,75567881876.447
"Progressive reform","Rational development","RCP 4.5",2051,8425,"Nicaraguan Exclusive Economic Zone","200NM","Nicaragua","NIC","Americas","Nicaragua","NIC","NIC","Americas",36,3600,5840647.99694755,33553637470.4209
"Progressive reform","Rational development","RCP 4.5",2051,8427,"Honduran Exclusive Economic Zone","200NM","Honduras","HND","Americas","Honduras","HND","HND","Americas",28,2800,4542726.2198481,26091372532.1051
"Progressive reform","Rational development","RCP 4.5",2051,8428,"El Salvador Exclusive Economic Zone","200NM","El Salvador","SLV","Americas","El Salvador","SLV","SLV","Americas",15,1500,2433603.33206148,13963782439.342
"Progressive reform","Rational development","RCP 4.5",2051,8430,"Guatemalan Exclusive Economic Zone","200NM","Guatemala","GTM","Americas","Guatemala","GTM","GTM","Americas",22,2200,3569284.8870235,20470629988.3683
"Progressive reform","Rational development","RCP 4.5",2051,8441,"Kiribati Exclusive Economic Zone (Line Islands)","200NM","Line Group","KIR","Oceania","Kiribati","KIR","KIR","Oceania",27,2700,4380485.99771066,25139200966.8157
"Progressive reform","Rational development","RCP 4.5",2051,8471,"Guinea Bissau Exclusive Economic Zone","200NM","Guinea-Bissau","GNB","Africa","Guinea-Bissau","GNB","GNB","Africa",7,700,1135681.55496202,6531152189.02629
"Progressive reform","Rational development","RCP 4.5",2051,8479,"Tanzanian Exclusive Economic Zone","200NM","Tanzania","TZA","Africa","Tanzania","TZA","TZA","Africa",24,2400,3893765.33129837,22387363902.9473
"Progressive reform","Rational development","RCP 4.5",2051,8480,"Indian Exclusive Economic Zone","200NM","India","IND","Asia","India","IND","IND","Asia",273,27300,44291580.6435189,254482016140.025
"Progressive reform","Rational development","RCP 4.5",2051,8481,"Bangladeshi Exclusive Economic Zone","200NM","Bangladesh","BGD","Asia","Bangladesh","BGD","BGD","Asia",38,3800,6165128.44122242,35428324664.9998
"Progressive reform","Rational development","RCP 4.5",2051,8484,"Vietnamese Exclusive Economic Zone","200NM","Vietnam","VNM","Asia","Vietnam","VNM","VNM","Asia",31,3100,5029446.88626039,28890527291.9735
"Progressive reform","Rational development","RCP 4.5",2051,8488,"Kiribati Exclusive Economic Zone (Gilbert Islands)","200NM","Gilbert Islands","KIR","Oceania","Kiribati","KIR","KIR","Oceania",43,4300,6976329.55190958,40036505243.4472
"Progressive reform","Rational development","RCP 4.5",2051,8492,"Indonesian Exclusive Economic Zone","200NM","Indonesia","IDN","Asia","Indonesia","IDN","IDN","Asia",94,9400,15250580.8809186,87529393185.2101
"Progressive reform","Rational development","RCP 4.5",2100,8324,"Papua New Guinean Exclusive Economic Zone","200NM","Papua New Guinea","PNG","Oceania","Papua New Guinea","PNG","PNG","Oceania",130,13000,21091228.8778662,121165705087.631
"Progressive reform","Rational development","RCP 4.5",2100,8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","KHM","Asia",27,2700,4380485.99771066,25179935110.8157
"Progressive reform","Rational development","RCP 4.5",2100,8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","200NM","Andaman and Nicobar","IND","Asia","India","IND","IND","Asia",72,7200,11681295.9938951,67116136124.8418
"Progressive reform","Rational development","RCP 4.5",2100,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",55,5500,8923212.21755876,51328607290.9208
"Progressive reform","Rational development","RCP 4.5",2100,8348,"Madagascan Exclusive Economic Zone","200NM","Madagascar","MDG","Africa","Madagascar","MDG","MDG","Africa",231,23100,37477491.3137468,215566268445.867
"Progressive reform","Rational development","RCP 4.5",2100,8353,"Yemeni Exclusive Economic Zone","200NM","Yemen","YEM","Asia","Yemen","YEM","YEM","Asia",50,5000,8112011.1068716,46633147864.4735
"Progressive reform","Rational development","RCP 4.5",2100,8359,"Pakistani Exclusive Economic Zone","200NM","Pakistan","PAK","Asia","Pakistan","PAK","PAK","Asia",64,6400,10383374.2167956,59669936978.526
"Progressive reform","Rational development","RCP 4.5",2100,8369,"Mauritanian Exclusive Economic Zone","200NM","Mauritania","MRT","Africa","Mauritania","MRT","MRT","Africa",22,2200,3569284.8870235,20524467684.3683
"Progressive reform","Rational development","RCP 4.5",2100,8370,"Gambian Exclusive Economic Zone","200NM","Gambia","GMB","Africa","Gambia","GMB","GMB","Africa",13,1300,2109122.88778662,12130637132.7631
"Progressive reform","Rational development","RCP 4.5",2100,8371,"Senegalese Exclusive Economic Zone","200NM","Senegal","SEN","Africa","Senegal","SEN","SEN","Africa",47,4700,7625290.44045931,43831450128.6051
"Progressive reform","Rational development","RCP 4.5",2100,8408,"Haitian Exclusive Economic Zone","200NM","Haiti","HTI","Americas","Haiti","HTI","HTI","Americas",81,8100,13141457.993132,75567881876.447
"Progressive reform","Rational development","RCP 4.5",2100,8425,"Nicaraguan Exclusive Economic Zone","200NM","Nicaragua","NIC","Americas","Nicaragua","NIC","NIC","Americas",21,2100,3407044.66488607,19572955191.0789
"Progressive reform","Rational development","RCP 4.5",2100,8427,"Honduran Exclusive Economic Zone","200NM","Honduras","HND","Americas","Honduras","HND","HND","Americas",18,1800,2920323.99847378,16773025199.2104
"Progressive reform","Rational development","RCP 4.5",2100,8471,"Guinea Bissau Exclusive Economic Zone","200NM","Guinea-Bissau","GNB","Africa","Guinea-Bissau","GNB","GNB","Africa",5,500,811201.11068716,4665108706.44735
"Progressive reform","Rational development","RCP 4.5",2100,8478,"Angolan Exclusive Economic Zone","200NM","Angola","AGO","Africa","Angola","AGO","AGO","Africa",1,100,162240.222137432,931792749.289469
"Progressive reform","Rational development","RCP 4.5",2100,8479,"Tanzanian Exclusive Economic Zone","200NM","Tanzania","TZA","Africa","Tanzania","TZA","TZA","Africa",24,2400,3893765.33129837,22387363902.9473
"Progressive reform","Rational development","RCP 4.5",2100,8480,"Indian Exclusive Economic Zone","200NM","India","IND","Asia","India","IND","IND","Asia",351,35100,56946317.9702386,327191163608.604
"Progressive reform","Rational development","RCP 4.5",2100,8481,"Bangladeshi Exclusive Economic Zone","200NM","Bangladesh","BGD","Asia","Bangladesh","BGD","BGD","Asia",55,5500,8923212.21755876,51277838330.9208
"Progressive reform","Rational development","RCP 4.5",2100,8482,"Myanmar Exclusive Economic Zone","200NM","Myanmar","MMR","Asia","Myanmar","MMR","MMR","Asia",64,6400,10383374.2167956,59686619986.526
"Progressive reform","Rational development","RCP 4.5",2100,8484,"Vietnamese Exclusive Economic Zone","200NM","Vietnam","VNM","Asia","Vietnam","VNM","VNM","Asia",154,15400,24984994.2091645,143520683966.578
"Progressive reform","Rational development","RCP 6.0",2021,8331,"Cambodian Exclusive Economic Zone","200NM","Cambodia","KHM","Asia","Cambodia","KHM","KHM","Asia",3,300,486720.666412296,2797770567.86841
"Progressive reform","Rational development","RCP 6.0",2021,8347,"Mozambican Exclusive Economic Zone","200NM","Mozambique","MOZ","Africa","Mozambique","MOZ","MOZ","Africa",55,5500,8923212.21755876,51328603770.9208
